feature,family,cohort,n,train_mean,train_std,normalizer_std,std_floor_applied,mean,standardized_mean,max_abs_z,outside_train_range,abs_z_above3,abs_z_above5
hidden.layer_30.input_mean,hidden,selected,224,0.011990353365739186,0.0012229832763282235,0.0012229832763282235,False,0.011618365059673254,-0.3041646711496797,2.8755627980275476,3,0,0
hidden.layer_30.input_mean,hidden,first_scored,219,0.011990353365739186,0.0012229832763282235,0.0012229832763282235,False,0.011628013172242196,-0.296275673192236,2.8801714990054506,2,0,0
hidden.layer_30.input_rms,hidden,dev,50,1.255721114476522,0.004516627632941505,0.004516627632941505,False,1.2551771068572999,-0.12044553224942496,1.93968439790811,0,0,0
hidden.layer_30.input_rms,hidden,train,75,1.255721114476522,0.004516627632941505,0.004516627632941505,False,1.255721114476522,-2.0982990825915937e-14,2.1595845925780544,0,0,0
hidden.layer_30.input_rms,hidden,all_scored_candidates,239,1.255721114476522,0.004516627632941505,0.004516627632941505,False,1.2584655180137028,0.6076222704667701,3.170927994830581,21,1,0
hidden.layer_30.input_rms,hidden,selected,224,1.255721114476522,0.004516627632941505,0.004516627632941505,False,1.2590336395161492,0.7334067159904488,3.170927994830581,20,1,0
hidden.layer_30.input_rms,hidden,first_scored,219,1.255721114476522,0.004516627632941505,0.004516627632941505,False,1.2590846149888757,0.7446928960498107,3.170927994830581,20,1,0
hidden.layer_30.output_mean,hidden,dev,50,-0.003233285527676344,0.00030894866686665556,0.00030894866686665556,False,-0.003174285963177681,0.19096882694796508,2.3468063080892136,2,0,0
hidden.layer_30.output_mean,hidden,train,75,-0.003233285527676344,0.00030894866686665556,0.00030894866686665556,False,-0.003233285527676344,-2.7806749958170227e-16,2.6419292208931773,0,0,0
hidden.layer_30.output_mean,hidden,all_scored_candidates,239,-0.003233285527676344,0.00030894866686665556,0.00030894866686665556,False,-0.003822016298856633,-1.905594146597789,4.414120586100071,67,35,0
hidden.layer_30.output_mean,hidden,selected,224,-0.003233285527676344,0.00030894866686665556,0.00030894866686665556,False,-0.003861626183996642,-2.033802776017463,4.414120586100071,67,35,0
hidden.layer_30.output_mean,hidden,first_scored,219,-0.003233285527676344,0.00030894866686665556,0.00030894866686665556,False,-0.003868796294937803,-2.0570108740289546,4.414120586100071,66,35,0
hidden.layer_30.output_rms,hidden,dev,50,0.33211739977200827,0.00645325793716883,0.00645325793716883,False,0.33181097865104675,-0.04748316647884532,1.998138398677098,0,0,0
hidden.layer_30.output_rms,hidden,train,75,0.33211739977200827,0.00645325793716883,0.00645325793716883,False,0.33211739977200827,-1.6053131046689372e-15,2.2467813404246684,0,0,0
hidden.layer_30.output_rms,hidden,all_scored_candidates,239,0.33211739977200827,0.00645325793716883,0.00645325793716883,False,0.33646313864815686,0.6734178175520333,2.8869241701977297,4,0,0
hidden.layer_30.output_rms,hidden,selected,224,0.33211739977200827,0.00645325793716883,0.00645325793716883,False,0.33721129197095123,0.789352021651522,2.8869241701977297,4,0,0
hidden.layer_30.output_rms,hidden,first_scored,219,0.33211739977200827,0.00645325793716883,0.00645325793716883,False,0.3373037859729436,0.8036849373497517,2.8869241701977297,4,0,0
hidden.layer_31.input_mean,hidden,dev,50,0.012861126425365606,0.0005109848504057537,0.0005109848504057537,False,0.012931378073990345,0.13748284037962133,2.8656162605978515,3,0,0
hidden.layer_31.input_mean,hidden,train,75,0.012861126425365606,0.0005109848504057537,0.0005109848504057537,False,0.012861126425365606,1.6775469902086115e-15,2.598038076247959,0,0,0
hidden.layer_31.input_mean,hidden,all_scored_candidates,239,0.012861126425365606,0.0005109848504057537,0.0005109848504057537,False,0.0117115191219055,-2.249787449759511,4.070542259145456,93,55,0
hidden.layer_31.input_mean,hidden,selected,224,0.012861126425365606,0.0005109848504057537,0.0005109848504057537,False,0.01167888956427175,-2.313643663124428,4.070542259145456,93,55,0
hidden.layer_31.input_mean,hidden,first_scored,219,0.012861126425365606,0.0005109848504057537,0.0005109848504057537,False,0.011671192922786762,-2.3287060303920213,4.070542259145456,92,54,0
hidden.layer_31.input_rms,hidden,dev,50,1.1598361937204997,0.004270980543155581,0.004270980543155581,False,1.1594097328186035,-0.09985081823414904,2.1941244685715087,0,0,0
hidden.layer_31.input_rms,hidden,train,75,1.1598361937204997,0.004270980543155581,0.004270980543155581,False,1.1598361937204997,-1.3170228796433036e-14,2.256478663390594,0,0,0
