job_id,arm,task_id,seed,budget,candidate_attempt,official_SUN
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,4,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,5,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,6,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,7,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,8,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,9,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,10,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,0,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,1,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,2,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,3,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,4,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,5,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,6,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,7,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,8,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,9,0
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,10,0
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,0,0
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,1,0
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,2,0
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,3,1
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,4,1
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,5,1
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,6,1
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,7,1
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,8,1
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,9,1
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,10,1
component-final-8e1fbdae4c717bead751ef3f,es_only_independent,Al-Li-V,3,10,0,0
component-final-8e1fbdae4c717bead751ef3f,es_only_independent,Al-Li-V,3,10,1,0
