population,feature,family,finite_n,missing_rate,train_min,train_p25,train_p50,train_p75,train_max,target_min,target_p25,target_p50,target_p75,target_max,median_shift_in_training_IQR,outside_training_range_n,outside_training_range_rate_among_finite,constant_training_feature
full_all_candidates,graph.layer_3_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_3_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_4_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_4_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_4_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_5_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_5_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_5_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_6_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_6_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_6_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_7_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_7_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_7_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_8_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_8_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_8_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_9_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_9_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_9_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_metadata_missing,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.logit_node_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.logit_probabilities_missing,graph,239,0.036290322580645164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,True
full_all_candidates,graph.node_count,graph,239,0.036290322580645164,789.0,801.0,809.0,816.0,1098.0,997.0,1012.0,1017.0,1026.0,1328.0,13.866666666666667,36,0.1506276150627615,False
full_all_candidates,graph.node_influence_effective_count,graph,239,0.036290322580645164,3.9224764937916277,3.9567665826787013,3.9730457950144884,3.9953779550915893,4.074854254389468,3.911230326600066,3.9486658273109922,3.959505554662394,3.9757028492355686,4.042710861449202,-0.35068011070165894,1,0.0041841004184100415,False
